id,date,customer_segment,product_area,sentiment,severity,feature_request,description,revenue_impact,region
CF-0197,2026-01-22,Enterprise,Billing,neutral,High,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,Low,LATAM
CF-0198,2026-05-23,Enterprise,Authentication,neutral,High,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Low,APAC
CF-0199,2026-01-14,SMB,Authentication,negative,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Medium,APAC
CF-0200,2026-02-09,Startup,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,EMEA
CF-0201,2026-03-13,Strategic,Authentication,negative,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Low,EMEA
CF-0202,2026-06-07,Strategic,Notifications,negative,High,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,High,North America
CF-0203,2026-03-10,Enterprise,AI Assistant,negative,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,EMEA
CF-0204,2026-03-31,Enterprise,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,EMEA
CF-0205,2026-04-13,Enterprise,Reporting,negative,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,EMEA
CF-0206,2026-04-18,Startup,AI Assistant,neutral,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,APAC
CF-0207,2026-06-02,Enterprise,Billing,negative,Medium,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,High,North America
CF-0208,2026-06-22,Enterprise,Integrations,negative,Low,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,APAC
CF-0209,2026-04-17,SMB,Reporting,neutral,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,EMEA
CF-0210,2026-01-29,SMB,AI Assistant,positive,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,LATAM
CF-0211,2026-01-15,Enterprise,Integrations,neutral,Low,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,EMEA
CF-0212,2026-03-07,SMB,Integrations,positive,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,APAC
CF-0213,2026-02-03,Startup,Authentication,negative,Low,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Low,EMEA
CF-0214,2026-04-22,Enterprise,Mobile App,negative,Low,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,Low,LATAM
CF-0215,2026-05-28,Startup,Reporting,negative,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,LATAM
CF-0216,2026-04-14,Enterprise,Integrations,neutral,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,APAC
CF-0217,2026-06-26,SMB,AI Assistant,negative,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,North America
CF-0218,2026-04-13,Strategic,Notifications,positive,High,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,High,North America
CF-0219,2026-02-26,SMB,Notifications,negative,Critical,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,At Risk,EMEA
CF-0220,2026-05-11,Mid-Market,Reporting,negative,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,APAC
CF-0221,2026-03-02,Enterprise,Mobile App,negative,High,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,Low,EMEA
CF-0222,2026-01-20,Mid-Market,Integrations,negative,Low,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,LATAM
CF-0223,2026-06-24,Strategic,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,APAC
CF-0224,2026-02-08,Startup,AI Assistant,negative,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,North America
CF-0225,2026-06-01,Enterprise,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,APAC
CF-0226,2026-04-05,SMB,Authentication,neutral,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Low,North America
CF-0227,2026-05-29,Strategic,Authentication,neutral,High,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Medium,North America
CF-0228,2026-02-18,SMB,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,LATAM
CF-0229,2026-03-29,Enterprise,Billing,neutral,Critical,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,At Risk,EMEA
CF-0230,2026-05-15,Strategic,Reporting,negative,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,EMEA
CF-0231,2026-04-15,SMB,AI Assistant,negative,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,North America
CF-0232,2026-03-26,Enterprise,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,LATAM
CF-0233,2026-02-08,SMB,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,North America
CF-0234,2026-06-17,Startup,Billing,neutral,Critical,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,At Risk,EMEA
CF-0235,2026-05-24,Startup,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,APAC
CF-0236,2026-06-25,Strategic,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,North America
CF-0237,2026-02-16,Mid-Market,Notifications,positive,Medium,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Medium,APAC
CF-0238,2026-02-27,Mid-Market,AI Assistant,neutral,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,EMEA
CF-0239,2026-05-19,Strategic,Authentication,negative,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,High,North America
CF-0240,2026-02-03,Strategic,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,LATAM
CF-0241,2026-02-12,Startup,Billing,negative,Low,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,High,North America
CF-0242,2026-06-06,SMB,Notifications,negative,Medium,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Medium,LATAM
CF-0243,2026-02-19,SMB,Dashboard,neutral,Medium,custom executive widgets,Dashboard filters reset when managers switch between account views.,Medium,LATAM
CF-0244,2026-05-09,Strategic,Integrations,positive,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,LATAM
CF-0245,2026-06-04,Mid-Market,AI Assistant,negative,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,APAC
CF-0246,2026-01-27,Strategic,AI Assistant,negative,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,North America
CF-0247,2026-05-12,Mid-Market,Integrations,positive,Low,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,LATAM
CF-0248,2026-03-31,Enterprise,Integrations,negative,Low,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,LATAM
CF-0249,2026-01-21,SMB,AI Assistant,neutral,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,EMEA
CF-0250,2026-06-16,SMB,Reporting,negative,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,EMEA
CF-0251,2026-06-28,Mid-Market,Billing,negative,Low,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,Medium,LATAM
CF-0252,2026-01-05,SMB,AI Assistant,positive,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,EMEA
CF-0253,2026-04-19,Enterprise,Billing,negative,Medium,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,High,APAC
CF-0254,2026-06-13,Strategic,Dashboard,positive,Medium,custom executive widgets,Dashboard filters reset when managers switch between account views.,Medium,LATAM
CF-0255,2026-06-02,Strategic,Reporting,negative,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,North America
CF-0256,2026-02-06,SMB,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,LATAM
CF-0257,2026-02-17,Enterprise,AI Assistant,positive,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,APAC
CF-0258,2026-05-10,Strategic,Authentication,neutral,Critical,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,At Risk,North America
CF-0259,2026-04-10,SMB,AI Assistant,neutral,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,APAC
CF-0260,2026-03-30,Mid-Market,Reporting,neutral,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,North America
CF-0261,2026-06-14,Mid-Market,Mobile App,neutral,Low,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,Medium,LATAM
CF-0262,2026-04-28,Enterprise,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,APAC
CF-0263,2026-03-22,SMB,Dashboard,positive,Low,custom executive widgets,Dashboard filters reset when managers switch between account views.,Low,LATAM
CF-0264,2026-03-06,Enterprise,Integrations,neutral,Critical,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,At Risk,EMEA
CF-0265,2026-06-17,SMB,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,APAC
CF-0266,2026-04-23,Startup,AI Assistant,neutral,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,APAC
CF-0267,2026-03-10,Enterprise,Billing,neutral,Medium,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,High,LATAM
CF-0268,2026-05-20,SMB,Integrations,negative,Low,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,APAC
CF-0269,2026-04-25,Strategic,Authentication,negative,Low,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Medium,LATAM
CF-0270,2026-01-11,SMB,Reporting,neutral,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,LATAM
CF-0271,2026-01-20,Startup,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,APAC
CF-0272,2026-01-08,Mid-Market,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,LATAM
CF-0273,2026-04-04,SMB,AI Assistant,positive,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,LATAM
CF-0274,2026-04-06,Startup,AI Assistant,negative,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,North America
CF-0275,2026-03-22,SMB,Reporting,neutral,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,EMEA
CF-0276,2026-02-17,Startup,Integrations,positive,Critical,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,At Risk,LATAM
CF-0277,2026-02-24,Strategic,Authentication,positive,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Medium,APAC
CF-0278,2026-04-26,Mid-Market,Reporting,positive,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,LATAM
CF-0279,2026-06-20,SMB,Authentication,negative,High,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Medium,North America
CF-0280,2026-02-10,Mid-Market,AI Assistant,positive,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,APAC
CF-0281,2026-03-02,Startup,Dashboard,positive,Low,custom executive widgets,Dashboard filters reset when managers switch between account views.,Low,North America
CF-0282,2026-02-03,Strategic,Mobile App,neutral,High,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,High,North America
CF-0283,2026-05-03,Strategic,Authentication,negative,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,High,LATAM
CF-0284,2026-02-02,SMB,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,North America
CF-0285,2026-02-02,Strategic,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,EMEA
CF-0286,2026-02-01,Strategic,Billing,negative,Medium,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,Low,EMEA
CF-0287,2026-02-27,SMB,AI Assistant,positive,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,APAC
CF-0288,2026-05-22,SMB,Integrations,positive,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,EMEA
CF-0289,2026-02-13,Strategic,Integrations,positive,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,EMEA
CF-0290,2026-03-28,Strategic,Reporting,negative,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,North America
CF-0291,2026-03-09,Mid-Market,AI Assistant,negative,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,LATAM
CF-0292,2026-05-20,SMB,Integrations,positive,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,APAC
CF-0293,2026-03-18,Startup,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,North America
CF-0294,2026-05-04,Startup,AI Assistant,positive,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,EMEA
CF-0295,2026-03-23,SMB,Reporting,positive,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,LATAM
CF-0296,2026-01-28,SMB,Integrations,neutral,Low,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,EMEA
CF-0297,2026-01-25,Enterprise,Reporting,neutral,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,APAC
CF-0298,2026-02-10,SMB,Notifications,neutral,Critical,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,At Risk,APAC
CF-0299,2026-04-30,Startup,Dashboard,neutral,High,custom executive widgets,Dashboard filters reset when managers switch between account views.,High,APAC
CF-0300,2026-05-10,Startup,Reporting,positive,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,EMEA
CF-0301,2026-03-14,Startup,AI Assistant,neutral,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,LATAM
CF-0302,2026-02-04,SMB,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,APAC
CF-0303,2026-05-24,Mid-Market,Notifications,neutral,Medium,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,High,APAC
CF-0304,2026-04-26,Strategic,Integrations,positive,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,APAC
CF-0305,2026-01-31,Mid-Market,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,North America
CF-0306,2026-04-04,Mid-Market,Notifications,negative,Medium,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,High,EMEA
CF-0307,2026-03-27,Startup,Notifications,positive,Medium,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Low,LATAM
CF-0308,2026-03-25,Strategic,AI Assistant,negative,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,APAC
CF-0309,2026-06-01,SMB,Billing,negative,Medium,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,Medium,LATAM
CF-0310,2026-04-05,SMB,Reporting,positive,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,North America
CF-0311,2026-06-26,Enterprise,Notifications,negative,High,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,High,LATAM
CF-0312,2026-05-28,Mid-Market,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,North America
CF-0313,2026-04-08,Mid-Market,Reporting,negative,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,EMEA
CF-0314,2026-01-05,Startup,AI Assistant,negative,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,APAC
CF-0315,2026-04-16,Strategic,AI Assistant,neutral,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,LATAM
CF-0316,2026-01-16,Mid-Market,Integrations,negative,Critical,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,At Risk,EMEA
CF-0317,2026-04-07,SMB,Mobile App,neutral,Critical,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,At Risk,EMEA
CF-0318,2026-04-01,SMB,Reporting,neutral,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,LATAM
CF-0319,2026-03-18,Mid-Market,Dashboard,positive,Critical,custom executive widgets,Dashboard filters reset when managers switch between account views.,At Risk,APAC
CF-0320,2026-06-30,Startup,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,APAC
CF-0321,2026-03-12,SMB,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,North America
CF-0322,2026-03-30,Mid-Market,AI Assistant,neutral,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,APAC
CF-0323,2026-04-24,SMB,AI Assistant,negative,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,LATAM
CF-0324,2026-05-24,SMB,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,EMEA
CF-0325,2026-03-04,Enterprise,Reporting,negative,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,EMEA
CF-0326,2026-05-01,Enterprise,Dashboard,neutral,Low,custom executive widgets,Dashboard filters reset when managers switch between account views.,High,EMEA
CF-0327,2026-02-10,Startup,AI Assistant,negative,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,LATAM
CF-0328,2026-03-24,SMB,Integrations,positive,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,North America
CF-0329,2026-05-27,Mid-Market,AI Assistant,positive,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,North America
CF-0330,2026-02-15,Enterprise,Reporting,positive,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,LATAM
CF-0331,2026-01-10,Enterprise,Reporting,negative,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,APAC
CF-0332,2026-03-14,Startup,Integrations,positive,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,LATAM
CF-0333,2026-02-19,Enterprise,Billing,neutral,Critical,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,At Risk,APAC
CF-0334,2026-02-17,Enterprise,Billing,negative,High,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,High,APAC
CF-0335,2026-02-14,Strategic,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,LATAM
CF-0336,2026-04-13,Enterprise,AI Assistant,neutral,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,EMEA
CF-0337,2026-03-08,Startup,Billing,negative,Medium,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,Low,EMEA
CF-0338,2026-05-30,Strategic,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,North America
CF-0339,2026-06-20,Enterprise,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,LATAM
CF-0340,2026-06-30,SMB,Reporting,neutral,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,North America
CF-0341,2026-05-03,Mid-Market,Integrations,positive,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,LATAM
CF-0342,2026-05-18,Mid-Market,Mobile App,neutral,Medium,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,Medium,EMEA
CF-0343,2026-05-15,Startup,AI Assistant,negative,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,APAC
CF-0344,2026-05-21,Strategic,Integrations,negative,Low,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,EMEA
CF-0345,2026-05-14,Startup,Reporting,positive,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,North America
CF-0346,2026-04-25,Enterprise,Dashboard,neutral,High,custom executive widgets,Dashboard filters reset when managers switch between account views.,High,LATAM
CF-0347,2026-05-24,Startup,Billing,neutral,Medium,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,Low,APAC
CF-0348,2026-02-25,Strategic,Integrations,neutral,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,North America
CF-0349,2026-01-16,Enterprise,AI Assistant,negative,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,LATAM
CF-0350,2026-06-14,Startup,AI Assistant,neutral,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,APAC
CF-0351,2026-04-07,Enterprise,Notifications,negative,Medium,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Medium,EMEA
CF-0352,2026-05-18,Startup,Integrations,neutral,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,EMEA
CF-0353,2026-04-29,Strategic,Dashboard,negative,High,custom executive widgets,Dashboard filters reset when managers switch between account views.,Medium,LATAM
CF-0354,2026-02-09,SMB,Notifications,positive,High,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Medium,EMEA
CF-0355,2026-01-29,Enterprise,Reporting,negative,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,LATAM
CF-0356,2026-03-03,Mid-Market,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,North America
CF-0357,2026-06-22,Enterprise,AI Assistant,positive,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,EMEA
CF-0358,2026-01-15,Mid-Market,AI Assistant,positive,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,APAC
CF-0359,2026-05-28,Strategic,Dashboard,negative,High,custom executive widgets,Dashboard filters reset when managers switch between account views.,Medium,APAC
CF-0360,2026-05-14,Mid-Market,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,LATAM
CF-0361,2026-02-14,Startup,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,LATAM
CF-0362,2026-06-21,Startup,AI Assistant,negative,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,APAC
CF-0363,2026-05-18,Startup,Notifications,positive,Medium,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Low,EMEA
CF-0364,2026-02-06,Startup,AI Assistant,neutral,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,North America
CF-0365,2026-05-16,Mid-Market,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,LATAM
CF-0366,2026-04-26,SMB,Dashboard,neutral,Medium,custom executive widgets,Dashboard filters reset when managers switch between account views.,Low,North America
CF-0367,2026-06-04,Enterprise,Dashboard,neutral,Low,custom executive widgets,Dashboard filters reset when managers switch between account views.,High,North America
CF-0368,2026-06-21,Strategic,Integrations,negative,Low,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,EMEA
CF-0369,2026-01-04,Mid-Market,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,EMEA
CF-0370,2026-05-03,Mid-Market,Reporting,positive,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,EMEA
CF-0371,2026-03-14,Startup,AI Assistant,positive,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,LATAM
CF-0372,2026-04-03,Strategic,Integrations,neutral,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,LATAM
CF-0373,2026-03-23,Mid-Market,Reporting,negative,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,APAC
CF-0374,2026-02-07,Enterprise,Mobile App,negative,Medium,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,Low,APAC
CF-0375,2026-04-17,SMB,Reporting,negative,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,EMEA
CF-0376,2026-03-04,Startup,Integrations,positive,Low,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,APAC
CF-0377,2026-06-14,Startup,Integrations,neutral,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,LATAM
CF-0378,2026-02-05,Strategic,AI Assistant,negative,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,LATAM
CF-0379,2026-06-14,Enterprise,Billing,neutral,Critical,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,At Risk,North America
CF-0380,2026-01-13,Enterprise,Reporting,positive,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,LATAM
CF-0381,2026-02-08,Enterprise,Billing,positive,High,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,High,EMEA
CF-0382,2026-06-07,Startup,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,LATAM
CF-0383,2026-01-05,Strategic,AI Assistant,negative,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,APAC
CF-0384,2026-06-28,Startup,Integrations,positive,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,EMEA
CF-0385,2026-03-03,Mid-Market,AI Assistant,positive,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,APAC
CF-0386,2026-04-14,Startup,Mobile App,neutral,Medium,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,Medium,EMEA
CF-0387,2026-06-17,Enterprise,Dashboard,negative,Medium,custom executive widgets,Dashboard filters reset when managers switch between account views.,Low,North America
CF-0388,2026-01-15,Enterprise,Integrations,neutral,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,EMEA
CF-0389,2026-05-25,Enterprise,Authentication,neutral,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Medium,North America
CF-0390,2026-05-26,Startup,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,APAC
CF-0391,2026-03-13,Strategic,AI Assistant,negative,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,North America
CF-0392,2026-02-23,Strategic,AI Assistant,negative,Low,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,EMEA
